weather_condition,phase_of_flight,aircraft_damage,number_of_engines,fatal_injuries,serious_injuries,minor_injuries,uninjured,emergency_type,severity_score,risk_level,atc_action,response_time_minutes
Windy,Climb,Minor,2,0,0,1,212,Bird Strike,65.5,High,Holding Pattern,17.3
Rain,Approach,None,4,0,0,2,192,Near Collision,72.0,High,Go Around,17.6
IMC,Takeoff,Minor,2,0,0,2,127,Medical Emergency,66.0,High,Runway Change,20.1
Rain,Landing,Minor,4,0,0,0,45,Fuel Low,72.0,High,Runway Change,19.3
VMC,Landing,None,2,0,0,2,113,Runway Incursion,45.0,Medium,Continue Monitoring,13.5
VMC,Takeoff,Minor,1,0,0,4,25,Landing Gear Issue,59.5,High,Runway Change,11.6
IMC,Approach,Substantial,2,0,0,0,48,Landing Gear Issue,80.0,Critical,Priority Landing,23.2
VMC,Approach,None,2,2,1,1,89,Bird Strike,65.5,High,Runway Change,17.6
Fog,Climb,None,1,0,1,1,179,Runway Incursion,58.0,High,Holding Pattern,22.4
VMC,Takeoff,None,2,0,0,1,201,Cabin Pressure Failure,59.5,High,Emergency Descent,16.8
VMC,Landing,None,2,0,1,1,162,Engine Failure,62.5,High,Runway Change,14.2
VMC,Climb,None,2,0,0,2,79,Medical Emergency,35.0,Medium,Continue Monitoring,11.4
Fog,Approach,Minor,2,1,2,1,184,Bird Strike,89.5,Critical,Priority Landing,26.0
VMC,Climb,None,2,0,0,4,249,Fuel Low,48.0,Medium,Continue Monitoring,13.5
Rain,Approach,Minor,2,1,2,5,170,Cabin Pressure Failure,100.0,Critical,Priority Landing,17.7
Windy,Takeoff,Substantial,2,0,0,1,195,Medical Emergency,82.5,Critical,Priority Landing,20.9
VMC,Cruise,Substantial,4,0,1,1,221,Near Collision,84.5,Critical,Priority Landing,20.8
Fog,Approach,Minor,4,0,1,2,184,Runway Incursion,70.0,High,Runway Change,20.0
VMC,Cruise,None,2,1,1,0,221,Engine Failure,58.0,High,Holding Pattern,14.6
VMC,Approach,None,2,0,0,0,88,Runway Incursion,37.0,Medium,Continue Monitoring,8.0
Rain,Climb,None,2,0,0,1,90,Bird Strike,53.5,Medium,Continue Monitoring,14.3
Windy,Cruise,Destroyed,2,1,0,0,60,Engine Failure,100.0,Critical,Priority Landing,24.3
VMC,Landing,Destroyed,3,2,0,1,61,Engine Failure,100.0,Critical,Priority Landing,22.7
IMC,Cruise,None,2,0,0,0,147,Engine Failure,58.0,High,Holding Pattern,16.8
VMC,Takeoff,None,2,1,1,0,233,Fuel Low,61.0,High,Runway Change,16.5
IMC,Taxi,Minor,2,0,1,3,70,Runway Incursion,60.5,High,Runway Change,16.5
Rain,Landing,None,2,0,1,1,183,Near Collision,82.5,Critical,Priority Landing,16.7
Rain,Landing,Destroyed,4,0,0,1,37,Medical Emergency,96.5,Critical,Priority Landing,22.7
Rain,Landing,None,2,0,0,0,243,Landing Gear Issue,55.0,High,Runway Change,13.8
VMC,Landing,None,4,1,0,1,140,Medical Emergency,47.5,Medium,Continue Monitoring,9.5
Rain,Landing,None,1,0,1,2,134,Engine Failure,78.5,High,Runway Change,21.8
Rain,Approach,None,2,0,1,1,102,Engine Failure,70.5,High,Runway Change,15.0
Rain,Takeoff,None,4,0,2,1,241,Cabin Pressure Failure,77.5,High,Emergency Descent,18.4
VMC,Approach,Substantial,2,0,0,0,116,Bird Strike,72.0,High,Runway Change,17.4
VMC,Climb,None,1,0,0,1,48,Fuel Low,45.0,Medium,Continue Monitoring,17.9
VMC,Landing,Minor,3,0,0,0,149,Fuel Low,60.5,High,Runway Change,14.0
VMC,Cruise,None,3,0,1,2,155,Medical Emergency,33.5,Medium,Continue Monitoring,15.0
VMC,Taxi,None,2,0,0,2,191,Landing Gear Issue,30.0,Medium,Continue Monitoring,7.9
VMC,Approach,None,2,0,1,1,134,Engine Failure,57.5,High,Runway Change,16.6
Rain,Approach,None,3,0,0,1,84,Engine Failure,65.0,High,Runway Change,14.2
VMC,Taxi,None,2,0,1,0,20,Fuel Low,39.0,Medium,Continue Monitoring,10.3
Fog,Cruise,None,2,0,0,2,246,Near Collision,72.0,High,Go Around,27.8
IMC,Cruise,Substantial,2,0,0,3,64,Fuel Low,85.5,Critical,Priority Landing,27.0
Fog,Cruise,Minor,2,1,0,0,100,Bird Strike,73.0,High,Holding Pattern,24.4
IMC,Taxi,Substantial,3,0,0,1,55,Near Collision,92.0,Critical,Priority Landing,29.0
IMC,Landing,None,2,0,0,1,74,Cabin Pressure Failure,74.5,High,Emergency Descent,22.1
Rain,Takeoff,Minor,4,0,0,0,33,Near Collision,84.0,Critical,Priority Landing,17.5
Windy,Cruise,Minor,2,0,1,1,98,Near Collision,82.5,Critical,Priority Landing,23.3
IMC,Cruise,None,2,0,0,0,238,Near Collision,65.0,High,Go Around,20.3
IMC,Approach,None,2,0,0,0,71,Cabin Pressure Failure,68.0,High,Emergency Descent,22.5
Rain,Takeoff,Minor,2,0,0,0,242,Cabin Pressure Failure,83.0,Critical,Priority Landing,21.4
Rain,Landing,Substantial,3,1,0,0,165,Runway Incursion,92.5,Critical,Priority Landing,19.5
VMC,Landing,Minor,2,1,0,0,225,Fuel Low,71.0,High,Runway Change,15.5
IMC,Climb,None,2,0,0,1,162,Fuel Low,56.5,High,Holding Pattern,21.5
IMC,Takeoff,Destroyed,2,0,1,1,247,Bird Strike,100.0,Critical,Priority Landing,26.0
Windy,Approach,None,2,0,1,3,146,Runway Incursion,58.5,High,Runway Change,12.6
IMC,Climb,Destroyed,1,0,1,0,211,Engine Failure,100.0,Critical,Priority Landing,30.1
IMC,Taxi,Substantial,2,0,2,0,28,Bird Strike,83.0,Critical,Priority Landing,18.9
Storm,Landing,Substantial,2,0,0,0,234,Bird Strike,100.0,Critical,Priority Landing,25.1
IMC,Taxi,Substantial,2,0,3,5,24,Fuel Low,97.5,Critical,Priority Landing,24.7
VMC,Approach,None,2,0,0,2,65,Bird Strike,45.0,Medium,Continue Monitoring,11.6
VMC,Taxi,Minor,2,0,0,3,189,Cabin Pressure Failure,61.5,High,Emergency Descent,15.7
VMC,Takeoff,Substantial,2,0,1,2,79,Landing Gear Issue,77.0,High,Runway Change,15.4
VMC,Climb,Minor,2,1,0,1,29,Medical Emergency,54.5,Medium,Continue Monitoring,18.0
VMC,Takeoff,None,4,0,0,1,218,Landing Gear Issue,38.5,Medium,Continue Monitoring,10.6
Fog,Landing,None,1,0,0,1,137,Fuel Low,70.0,High,Runway Change,19.3
Rain,Approach,None,2,1,1,0,130,Runway Incursion,63.0,High,Runway Change,12.6
VMC,Climb,Minor,1,0,1,0,92,Bird Strike,56.5,High,Holding Pattern,14.8
IMC,Climb,Minor,3,1,0,2,184,Cabin Pressure Failure,87.5,Critical,Priority Landing,27.5
VMC,Approach,Substantial,2,0,0,0,92,Runway Incursion,67.0,High,Runway Change,14.1
Windy,Climb,Substantial,2,0,0,0,149,Near Collision,99.0,Critical,Priority Landing,24.9
VMC,Approach,Minor,3,0,0,2,49,Landing Gear Issue,50.5,Medium,Continue Monitoring,15.2
Rain,Approach,None,2,0,1,0,90,Cabin Pressure Failure,72.0,High,Emergency Descent,19.0
VMC,Climb,Minor,2,0,0,0,26,Cabin Pressure Failure,64.0,High,Emergency Descent,21.6
Rain,Climb,None,2,0,1,0,85,Near Collision,73.0,High,Go Around,19.5
VMC,Cruise,None,1,0,0,0,107,Fuel Low,39.5,Medium,Continue Monitoring,11.9
Fog,Approach,None,4,0,0,1,192,Bird Strike,57.5,High,Runway Change,20.4
VMC,Climb,None,2,1,0,1,209,Landing Gear Issue,44.5,Medium,Continue Monitoring,15.6
Windy,Cruise,None,2,0,0,1,142,Landing Gear Issue,44.5,Medium,Continue Monitoring,17.3
IMC,Approach,Minor,4,0,0,1,232,Landing Gear Issue,60.5,High,Runway Change,18.9
Fog,Climb,None,2,0,0,1,102,Runway Incursion,52.5,Medium,Continue Monitoring,22.8
Fog,Approach,None,2,0,0,0,133,Bird Strike,59.0,High,Runway Change,20.3
Storm,Takeoff,None,1,0,0,0,161,Bird Strike,71.5,High,Runway Change,22.3
VMC,Takeoff,Minor,2,0,1,1,60,Fuel Low,65.5,High,Runway Change,16.8
VMC,Climb,Minor,4,0,0,1,116,Cabin Pressure Failure,62.5,High,Emergency Descent,19.0
VMC,Climb,None,4,0,1,1,226,Bird Strike,41.5,Medium,Continue Monitoring,14.9
VMC,Takeoff,None,2,0,1,0,129,Runway Incursion,44.0,Medium,Continue Monitoring,12.4
IMC,Taxi,Destroyed,2,0,0,1,234,Engine Failure,100.0,Critical,Priority Landing,28.0
Storm,Climb,Minor,2,0,0,1,175,Landing Gear Issue,72.5,High,Holding Pattern,23.0
Storm,Landing,Minor,4,0,0,2,59,Medical Emergency,77.0,High,Runway Change,25.3
IMC,Taxi,Minor,1,0,0,0,125,Medical Emergency,51.5,Medium,Continue Monitoring,17.1
Rain,Landing,Substantial,2,0,0,1,104,Medical Emergency,84.5,Critical,Priority Landing,21.2
Windy,Landing,Substantial,2,0,0,1,238,Medical Emergency,84.5,Critical,Priority Landing,19.0
Windy,Takeoff,None,2,0,1,1,97,Cabin Pressure Failure,76.5,High,Emergency Descent,17.3
VMC,Cruise,Minor,2,1,1,0,131,Fuel Low,63.0,High,Holding Pattern,22.4
IMC,Landing,None,4,0,0,0,178,Fuel Low,60.0,High,Runway Change,18.2
Fog,Approach,Minor,2,0,0,0,241,Medical Emergency,64.0,High,Runway Change,17.0
VMC,Takeoff,None,2,0,1,0,145,Bird Strike,49.0,Medium,Continue Monitoring,11.4
VMC,Approach,None,2,0,0,1,214,Bird Strike,43.5,Medium,Continue Monitoring,11.2
Storm,Landing,Destroyed,4,0,1,0,46,Medical Emergency,100.0,Critical,Priority Landing,30.3
Storm,Landing,Substantial,2,0,0,2,224,Engine Failure,100.0,Critical,Priority Landing,26.4
Windy,Cruise,None,2,0,0,4,67,Medical Emergency,47.0,Medium,Continue Monitoring,17.3
Fog,Climb,Destroyed,2,0,1,0,195,Medical Emergency,98.0,Critical,Priority Landing,26.6
VMC,Climb,None,2,0,1,1,142,Engine Failure,54.5,Medium,Continue Monitoring,17.5
VMC,Climb,Minor,1,0,0,2,159,Medical Emergency,48.5,Medium,Continue Monitoring,17.1
IMC,Cruise,Substantial,4,0,0,2,41,Near Collision,95.0,Critical,Priority Landing,31.7
IMC,Climb,None,2,0,2,2,142,Runway Incursion,58.0,High,Holding Pattern,20.0
IMC,Cruise,Minor,2,0,0,1,39,Medical Emergency,54.5,Medium,Continue Monitoring,22.0
Rain,Takeoff,Minor,2,0,1,0,146,Cabin Pressure Failure,87.0,Critical,Priority Landing,20.3
VMC,Climb,None,4,0,1,4,113,Engine Failure,56.0,High,Holding Pattern,15.0
Rain,Climb,None,2,0,1,0,66,Fuel Low,59.0,High,Holding Pattern,17.6
VMC,Takeoff,None,2,1,1,2,132,Near Collision,78.0,High,Go Around,17.5
VMC,Taxi,Minor,1,0,1,3,69,Medical Emergency,47.0,Medium,Continue Monitoring,7.8
VMC,Landing,None,4,0,0,2,39,Landing Gear Issue,42.0,Medium,Continue Monitoring,12.8
VMC,Taxi,None,4,0,0,4,27,Runway Incursion,30.0,Medium,Continue Monitoring,10.5
Windy,Approach,Minor,2,0,1,2,98,Landing Gear Issue,69.0,High,Runway Change,15.5
VMC,Takeoff,None,2,0,1,0,191,Medical Emergency,42.0,Medium,Continue Monitoring,8.9
VMC,Taxi,None,2,0,1,1,152,Engine Failure,47.5,Medium,Continue Monitoring,15.5
Fog,Cruise,Minor,3,1,1,0,48,Cabin Pressure Failure,88.5,Critical,Priority Landing,27.5
IMC,Landing,Substantial,2,0,0,1,122,Landing Gear Issue,86.5,Critical,Priority Landing,25.6
VMC,Cruise,None,4,0,0,2,153,Bird Strike,35.0,Medium,Continue Monitoring,16.1
VMC,Cruise,Substantial,2,0,1,1,73,Landing Gear Issue,65.5,High,Holding Pattern,17.7
VMC,Cruise,Minor,2,1,0,2,51,Engine Failure,69.0,High,Holding Pattern,21.0
Rain,Climb,None,2,0,1,3,77,Cabin Pressure Failure,73.5,High,Emergency Descent,19.7
VMC,Approach,Substantial,3,0,1,0,35,Landing Gear Issue,69.5,High,Runway Change,16.4
VMC,Landing,Minor,2,0,1,1,75,Bird Strike,64.5,High,Runway Change,15.4
VMC,Takeoff,Minor,2,0,1,1,142,Fuel Low,65.5,High,Runway Change,15.8
IMC,Takeoff,Minor,2,0,0,1,204,Runway Incursion,66.5,High,Runway Change,22.2
VMC,Taxi,Minor,2,0,0,2,220,Fuel Low,50.0,Medium,Continue Monitoring,13.2
Fog,Approach,Destroyed,3,0,1,1,174,Near Collision,100.0,Critical,Priority Landing,25.7
VMC,Taxi,Minor,1,0,1,2,101,Engine Failure,62.5,High,Runway Change,14.7
Rain,Approach,Substantial,2,1,1,0,234,Near Collision,100.0,Critical,Priority Landing,22.7
VMC,Approach,Minor,2,0,0,2,231,Cabin Pressure Failure,70.0,High,Emergency Descent,14.8
VMC,Taxi,Substantial,2,0,0,1,102,Cabin Pressure Failure,76.5,High,Emergency Descent,16.8
VMC,Approach,Destroyed,2,1,0,1,22,Near Collision,100.0,Critical,Priority Landing,21.9
Fog,Climb,None,2,0,0,4,119,Medical Emergency,55.0,High,Holding Pattern,19.8
Windy,Approach,None,2,1,1,3,127,Near Collision,89.5,Critical,Priority Landing,19.9
VMC,Climb,Minor,1,1,2,0,175,Medical Emergency,62.5,High,Holding Pattern,17.0
VMC,Cruise,None,2,1,0,1,53,Runway Incursion,40.5,Medium,Continue Monitoring,18.3
Windy,Landing,Minor,4,0,1,1,145,Cabin Pressure Failure,87.5,Critical,Priority Landing,22.4
IMC,Takeoff,Substantial,2,0,0,3,92,Fuel Low,95.5,Critical,Priority Landing,26.1
VMC,Landing,Substantial,2,0,2,1,133,Landing Gear Issue,81.5,Critical,Priority Landing,18.6
VMC,Approach,None,2,0,0,0,25,Fuel Low,45.0,Medium,Continue Monitoring,16.5
Rain,Climb,Minor,2,3,0,1,141,Landing Gear Issue,87.5,Critical,Priority Landing,23.4
Rain,Takeoff,None,1,0,1,0,28,Landing Gear Issue,58.5,High,Runway Change,14.4
IMC,Landing,Minor,2,0,1,3,216,Cabin Pressure Failure,93.5,Critical,Priority Landing,25.4
Storm,Landing,None,1,0,0,2,183,Medical Emergency,69.5,High,Runway Change,21.1
IMC,Landing,Minor,2,0,0,2,231,Fuel Low,78.0,High,Runway Change,24.9
VMC,Cruise,Minor,2,0,0,0,170,Runway Incursion,42.0,Medium,Continue Monitoring,14.5
IMC,Approach,Minor,2,0,1,4,245,Fuel Low,80.0,Critical,Priority Landing,26.6
VMC,Cruise,Minor,2,0,1,0,67,Cabin Pressure Failure,64.0,High,Emergency Descent,16.8
VMC,Cruise,None,4,0,2,1,21,Runway Incursion,36.5,Medium,Continue Monitoring,15.0
VMC,Climb,None,2,0,1,0,227,Bird Strike,43.0,Medium,Continue Monitoring,12.7
VMC,Climb,None,2,0,0,1,171,Bird Strike,40.5,Medium,Continue Monitoring,17.9
Rain,Taxi,Destroyed,2,0,2,0,178,Landing Gear Issue,93.0,Critical,Priority Landing,20.1
VMC,Approach,Substantial,1,1,1,1,86,Landing Gear Issue,83.0,Critical,Priority Landing,18.8
VMC,Climb,None,2,2,0,1,97,Fuel Low,61.5,High,Holding Pattern,19.9
Rain,Taxi,None,2,0,0,1,176,Bird Strike,46.5,Medium,Continue Monitoring,14.9
Rain,Takeoff,None,3,0,0,1,113,Near Collision,75.0,High,Go Around,15.3
Fog,Approach,Minor,3,0,0,1,37,Cabin Pressure Failure,84.0,Critical,Priority Landing,22.4
Fog,Takeoff,None,3,0,0,0,87,Fuel Low,63.5,High,Runway Change,16.6
Rain,Cruise,None,2,0,0,1,108,Bird Strike,49.5,Medium,Continue Monitoring,16.2
VMC,Approach,None,2,1,0,3,211,Cabin Pressure Failure,68.5,High,Emergency Descent,16.1
IMC,Taxi,None,3,0,0,0,99,Fuel Low,46.5,Medium,Continue Monitoring,15.7
Rain,Taxi,None,4,2,1,0,133,Cabin Pressure Failure,77.0,High,Emergency Descent,16.5
VMC,Taxi,None,2,0,1,3,157,Near Collision,57.5,High,Go Around,13.6
VMC,Climb,Minor,4,1,0,1,51,Fuel Low,61.5,High,Holding Pattern,16.6
VMC,Takeoff,Minor,4,1,2,0,153,Cabin Pressure Failure,84.0,Critical,Priority Landing,20.2
IMC,Taxi,None,2,0,1,0,66,Landing Gear Issue,44.0,Medium,Continue Monitoring,19.0
VMC,Taxi,Minor,1,0,0,2,221,Cabin Pressure Failure,61.5,High,Emergency Descent,11.2
VMC,Climb,Minor,2,0,0,1,88,Bird Strike,52.5,Medium,Continue Monitoring,16.2
Fog,Takeoff,Substantial,2,0,1,0,90,Near Collision,100.0,Critical,Priority Landing,25.2
Windy,Approach,Destroyed,1,0,1,0,112,Medical Emergency,98.5,Critical,Priority Landing,22.7
VMC,Takeoff,None,2,0,0,0,102,Near Collision,62.0,High,Go Around,13.3
Windy,Takeoff,Substantial,2,0,0,1,156,Engine Failure,99.5,Critical,Priority Landing,21.6
VMC,Taxi,Minor,4,0,0,3,186,Near Collision,62.5,High,Go Around,13.2
Windy,Cruise,Minor,3,0,0,1,241,Near Collision,77.0,High,Go Around,22.3
Storm,Takeoff,None,2,0,1,0,224,Engine Failure,84.0,Critical,Priority Landing,23.3
VMC,Approach,None,2,0,0,1,80,Medical Emergency,36.5,Medium,Continue Monitoring,10.2
Fog,Cruise,None,1,0,0,2,158,Medical Emergency,49.5,Medium,Continue Monitoring,20.7
Storm,Approach,Destroyed,2,1,0,1,95,Cabin Pressure Failure,100.0,Critical,Priority Landing,25.5
Windy,Taxi,Minor,2,0,0,2,205,Cabin Pressure Failure,73.0,High,Emergency Descent,14.0
Storm,Climb,None,2,0,0,1,25,Near Collision,82.5,Critical,Priority Landing,27.0
IMC,Approach,Minor,4,2,0,1,248,Landing Gear Issue,78.5,High,Runway Change,22.7
VMC,Landing,None,2,0,0,1,105,Runway Incursion,43.5,Medium,Continue Monitoring,11.5
Fog,Cruise,None,2,0,0,1,191,Fuel Low,56.5,High,Holding Pattern,23.1
Rain,Taxi,Minor,2,0,1,2,175,Landing Gear Issue,59.0,High,Runway Change,17.1
Rain,Cruise,Minor,3,0,0,0,104,Medical Emergency,51.5,Medium,Continue Monitoring,14.1
VMC,Cruise,Substantial,2,0,0,3,241,Runway Incursion,64.5,High,Holding Pattern,17.0
IMC,Taxi,Minor,2,2,1,3,81,Medical Emergency,76.5,High,Runway Change,24.9
VMC,Approach,Minor,2,0,0,0,190,Fuel Low,57.0,High,Runway Change,17.1
Rain,Taxi,Substantial,2,0,2,4,233,Near Collision,100.0,Critical,Priority Landing,20.5
VMC,Landing,None,2,0,0,4,47,Near Collision,70.0,High,Go Around,14.2
Rain,Landing,Minor,2,0,0,0,230,Engine Failure,82.0,Critical,Priority Landing,17.5
Fog,Climb,Minor,2,0,0,2,224,Engine Failure,81.0,Critical,Priority Landing,24.6
IMC,Cruise,None,1,0,0,2,107,Runway Incursion,47.5,Medium,Continue Monitoring,16.4
IMC,Taxi,None,2,0,1,4,212,Bird Strike,55.0,High,Runway Change,18.0
VMC,Approach,None,2,0,0,0,21,Medical Emergency,35.0,Medium,Continue Monitoring,7.7
Storm,Climb,None,2,0,0,2,63,Medical Emergency,60.0,High,Holding Pattern,19.4
Rain,Climb,Minor,1,0,0,1,193,Medical Emergency,60.0,High,Holding Pattern,19.6
VMC,Landing,None,2,0,0,0,234,Medical Emergency,40.0,Medium,Continue Monitoring,9.8
VMC,Climb,Minor,4,0,0,2,48,Landing Gear Issue,46.0,Medium,Continue Monitoring,15.1
VMC,Takeoff,None,4,0,0,0,184,Cabin Pressure Failure,55.0,High,Emergency Descent,15.2
IMC,Landing,None,2,0,0,2,43,Runway Incursion,58.0,High,Runway Change,20.1
Windy,Climb,None,2,0,0,2,200,Medical Emergency,48.0,Medium,Continue Monitoring,15.0
Rain,Landing,None,2,0,1,2,226,Medical Emergency,60.0,High,Runway Change,14.9
VMC,Approach,Destroyed,4,0,0,0,125,Near Collision,100.0,Critical,Priority Landing,20.3
Windy,Taxi,None,2,0,1,0,43,Bird Strike,49.0,Medium,Continue Monitoring,16.3
VMC,Approach,None,1,2,0,5,66,Landing Gear Issue,64.0,High,Runway Change,16.8
Windy,Taxi,None,2,1,0,0,136,Landing Gear Issue,49.0,Medium,Continue Monitoring,10.6
VMC,Taxi,None,4,0,0,2,203,Bird Strike,32.0,Medium,Continue Monitoring,9.8
Rain,Climb,Minor,2,0,0,1,139,Bird Strike,65.5,High,Holding Pattern,20.2
Windy,Taxi,Substantial,2,0,1,1,129,Fuel Low,83.5,Critical,Priority Landing,20.0
VMC,Landing,None,2,0,0,2,158,Bird Strike,50.0,Medium,Continue Monitoring,16.7
Rain,Takeoff,Minor,2,0,0,1,242,Engine Failure,81.5,Critical,Priority Landing,21.4
Storm,Takeoff,Minor,2,0,0,1,201,Runway Incursion,78.5,High,Runway Change,21.1
VMC,Climb,Substantial,2,1,0,2,55,Bird Strike,81.0,Critical,Priority Landing,21.4
VMC,Takeoff,Minor,4,1,0,0,65,Fuel Low,66.0,High,Runway Change,13.3
Rain,Cruise,None,2,1,0,3,101,Landing Gear Issue,56.5,High,Holding Pattern,17.7
VMC,Taxi,Minor,1,0,1,1,82,Medical Emergency,44.0,Medium,Continue Monitoring,12.2
VMC,Cruise,Substantial,3,0,4,0,189,Engine Failure,89.5,Critical,Priority Landing,28.5
IMC,Takeoff,Minor,2,1,0,1,248,Bird Strike,80.5,Critical,Priority Landing,22.7
Fog,Cruise,Destroyed,2,0,0,2,151,Bird Strike,100.0,Critical,Priority Landing,24.8
VMC,Climb,Substantial,2,0,0,2,224,Cabin Pressure Failure,85.0,Critical,Priority Landing,21.0
VMC,Taxi,None,3,0,1,2,119,Medical Emergency,30.5,Medium,Continue Monitoring,9.7
Fog,Takeoff,Substantial,2,0,2,1,178,Engine Failure,100.0,Critical,Priority Landing,23.5
IMC,Landing,Minor,2,0,0,0,181,Fuel Low,75.0,High,Runway Change,19.8
Fog,Cruise,Minor,2,0,0,2,87,Medical Emergency,60.0,High,Holding Pattern,21.1
VMC,Takeoff,Minor,2,0,0,1,188,Cabin Pressure Failure,71.5,High,Emergency Descent,17.6
Storm,Landing,Substantial,2,0,0,3,143,Medical Emergency,99.5,Critical,Priority Landing,25.6
Rain,Cruise,Minor,2,0,0,0,152,Landing Gear Issue,55.0,High,Holding Pattern,15.1
VMC,Landing,Minor,2,0,0,2,77,Medical Emergency,55.0,High,Runway Change,15.5
Windy,Approach,None,2,0,0,1,93,Near Collision,73.5,High,Go Around,16.2
IMC,Landing,None,3,1,0,0,217,Cabin Pressure Failure,80.5,Critical,Priority Landing,21.5
VMC,Cruise,Substantial,2,1,0,2,162,Medical Emergency,70.0,High,Holding Pattern,16.8
VMC,Takeoff,Minor,4,0,0,4,49,Engine Failure,70.0,High,Runway Change,15.0
Rain,Takeoff,None,4,0,1,1,145,Near Collision,77.5,High,Go Around,19.3
VMC,Cruise,Substantial,2,0,1,1,162,Runway Incursion,65.5,High,Holding Pattern,15.6
VMC,Cruise,Substantial,2,0,0,0,203,Runway Incursion,60.0,High,Holding Pattern,17.7
VMC,Landing,Minor,2,0,2,2,216,Runway Incursion,65.0,High,Runway Change,17.1
VMC,Cruise,None,3,0,1,1,170,Bird Strike,39.0,Medium,Continue Monitoring,13.3
VMC,Taxi,Minor,2,1,1,0,22,Medical Emergency,50.0,Medium,Continue Monitoring,13.5
IMC,Climb,None,2,0,3,0,134,Near Collision,81.0,Critical,Priority Landing,23.3
VMC,Cruise,None,2,0,1,3,67,Near Collision,60.5,High,Go Around,20.5
VMC,Landing,Minor,2,0,0,1,24,Cabin Pressure Failure,73.5,High,Emergency Descent,19.4
Rain,Takeoff,Substantial,3,0,1,0,232,Engine Failure,100.0,Critical,Priority Landing,22.5
VMC,Climb,None,2,0,0,1,58,Near Collision,57.5,High,Go Around,13.8
Rain,Landing,Substantial,1,1,1,1,76,Cabin Pressure Failure,100.0,Critical,Priority Landing,19.9
VMC,Approach,Substantial,2,0,2,1,97,Engine Failure,91.5,Critical,Priority Landing,22.4
VMC,Landing,None,2,0,0,2,127,Cabin Pressure Failure,63.0,High,Emergency Descent,18.8
VMC,Approach,None,2,0,1,0,158,Near Collision,63.0,High,Go Around,15.9
IMC,Taxi,Minor,1,0,1,1,91,Landing Gear Issue,59.0,High,Runway Change,21.1
VMC,Taxi,Substantial,2,1,0,0,202,Runway Incursion,66.0,High,Runway Change,14.7
Fog,Taxi,None,4,1,0,1,56,Fuel Low,59.5,High,Runway Change,18.3
VMC,Takeoff,Minor,2,0,1,0,240,Near Collision,78.0,High,Go Around,18.0
IMC,Approach,Minor,2,0,2,1,216,Near Collision,93.5,Critical,Priority Landing,25.7
IMC,Takeoff,Minor,2,0,0,1,157,Bird Strike,71.5,High,Runway Change,17.8
VMC,Climb,Minor,2,0,0,1,31,Runway Incursion,47.5,Medium,Continue Monitoring,17.4
IMC,Climb,None,2,0,1,1,187,Bird Strike,57.5,High,Holding Pattern,24.0
VMC,Approach,None,2,0,2,2,182,Runway Incursion,48.0,Medium,Continue Monitoring,10.3
VMC,Cruise,None,2,0,0,0,162,Near Collision,52.0,Medium,Go Around,13.6
VMC,Taxi,Substantial,4,1,2,1,84,Landing Gear Issue,72.5,High,Runway Change,17.8
Fog,Climb,Substantial,4,0,0,1,118,Near Collision,100.0,Critical,Priority Landing,27.7
Windy,Approach,Substantial,2,0,0,0,115,Engine Failure,95.0,Critical,Priority Landing,16.4
VMC,Landing,None,1,0,0,0,160,Landing Gear Issue,43.5,Medium,Continue Monitoring,13.4
Rain,Taxi,Minor,1,0,1,3,96,Medical Emergency,60.0,High,Runway Change,15.1
Fog,Climb,None,2,0,1,1,112,Medical Emergency,54.5,Medium,Continue Monitoring,19.9
VMC,Landing,None,4,0,1,2,228,Runway Incursion,46.0,Medium,Continue Monitoring,16.5
Fog,Takeoff,None,3,0,1,0,124,Bird Strike,64.5,High,Runway Change,19.9
Rain,Approach,Substantial,2,0,1,0,156,Near Collision,100.0,Critical,Priority Landing,20.5
Windy,Cruise,None,4,0,0,2,229,Runway Incursion,43.0,Medium,Continue Monitoring,14.9
Storm,Taxi,Minor,1,0,0,3,237,Cabin Pressure Failure,88.0,Critical,Priority Landing,21.8
VMC,Landing,Destroyed,2,0,0,0,149,Near Collision,100.0,Critical,Priority Landing,20.5
VMC,Taxi,Minor,2,0,0,1,80,Near Collision,62.5,High,Go Around,16.0
IMC,Taxi,None,2,0,0,0,43,Cabin Pressure Failure,58.0,High,Emergency Descent,17.3
VMC,Cruise,Substantial,4,0,0,0,217,Engine Failure,72.0,High,Holding Pattern,19.1
VMC,Landing,Minor,4,0,0,1,140,Near Collision,74.5,High,Go Around,20.7
Storm,Takeoff,Minor,1,0,0,2,150,Runway Incursion,81.5,Critical,Priority Landing,24.4
VMC,Approach,Minor,2,1,1,5,239,Fuel Low,77.5,High,Runway Change,19.6
IMC,Takeoff,Substantial,2,0,0,0,105,Runway Incursion,83.0,Critical,Priority Landing,24.0
Fog,Landing,Minor,1,0,1,3,43,Bird Strike,86.0,Critical,Priority Landing,24.4
VMC,Taxi,Minor,2,0,1,1,174,Bird Strike,49.5,Medium,Continue Monitoring,15.8
IMC,Landing,Minor,2,0,1,1,243,Bird Strike,77.5,High,Runway Change,21.9
Storm,Taxi,None,2,1,0,2,59,Cabin Pressure Failure,82.0,Critical,Priority Landing,26.5
IMC,Climb,Substantial,2,1,2,1,247,Fuel Low,100.0,Critical,Priority Landing,27.1
VMC,Taxi,None,2,0,0,1,144,Near Collision,50.5,Medium,Go Around,12.6
VMC,Approach,None,4,1,2,0,148,Near Collision,73.0,High,Go Around,14.4
